Unnamed: 0;ancienne_classe_risque;classe_risque_actuelle;anciennete;sexe_rec;situation_contractuelle;convention;employeur_client;rupture_revenu;duree_sommeil;max_credit;min_debit;nbr_mvt_credit;nbr_mvt_debit;nbr_open_comptes;nbr_closed_comptes;nbr_abonnements;nbr_placements_actifs;nbr_placements_echus;nbr_open_engagements;solde_moyen_mensuel;Engagement_Secteur;anciennete_dern_eng_anticip;sortie_risque;revenu_mensuel_y
11482;2;1;1;0;2;0;0;0;85;150;-140;7;28;1;0;0;0;0;0;65.482;0;0;1;82.083333
11483;4;1;1;1;1;0;1;0;85;0;-100;0;9;1;0;1;0;0;0;-4.735;0;0;1;450
11487;2;1;1;0;2;0;0;0;85;107.41;-41.65;1;17;1;0;1;0;0;0;-20.594;0;0;1;8.950833
11488;4;1;1;0;1;0;0;0;85;284.932;-284.388;16;42;1;0;0;0;0;0;-702.081;0;0;1;450
11489;4;1;1;1;5;0;0;0;85;0;-1000;0;28;1;0;1;0;0;0;236.152;0;0;1;450
11492;4;1;1;1;5;0;0;0;85;0;-1000;0;7;1;0;0;0;0;0;158.273;0;0;1;450
11494;4;1;1;1;2;0;0;0;85;0;-20.186;0;16;1;0;2;0;0;0;-55.127;0;0;1;450
11496;4;1;1;0;5;0;0;0;85;0;-14000;0;18;1;0;2;0;0;0;211.904;0;0;1;450
11497;2;1;1;0;5;0;0;0;85;0;-14000;0;18;1;0;2;0;0;0;211.904;0;0;1;450
11498;3;1;1;1;1;1;1;0;7;22000;-23000;18;92;1;0;2;0;0;0;3002.419;0;0;1;1220.811333
11499;4;0;1;0;1;0;0;0;85;0;-22.41;0;17;1;0;1;0;0;0;-117.338;0;0;1;450
11500;3;1;1;1;1;0;0;0;85;630.396;-630;6;21;1;0;0;0;0;0;-15.761;0;0;1;169.6815
11502;2;1;1;1;5;0;0;0;85;580;-600;4;14;2;0;2;0;0;0;315.73;0;0;1;98.333333
11503;4;5;1;1;1;0;0;0;85;0;-126.84;0;33;3;0;0;0;0;0;-202.683;0;0;0;450
11504;2;1;1;1;4;0;0;0;85;2700;-2500;10;36;1;0;2;0;0;0;113.682;0;0;1;908.333333
11505;3;4;1;0;1;0;1;0;1;10600;-4000;40;245;2;0;3;0;0;0;1316.078;0;0;0;3238.1125
11506;2;1;1;0;2;0;0;0;85;350;-101.3;10;74;1;0;1;0;0;0;311.279;0;0;1;110
11507;3;0;0;1;1;0;1;0;85;0;-18.971;0;5;1;0;0;0;0;0;-24.374;0;0;1;450
11508;3;1;1;1;5;0;0;0;85;3000;-3000;1;10;1;0;1;0;0;0;10.809;0;0;1;250
11512;2;1;1;1;2;0;0;0;85;500;-400;6;35;1;0;1;0;0;0;59.743;0;0;1;250
